Entity,Code,Year,Pesticides Use - Herbicides - 1320 - Agricultural Use - 5157 - tonnes,Pesticides Use - Insecticides - 1309 - Agricultural Use - 5157 - tonnes,Pesticides Use - Fungicides and Bactericides - 1331 - Agricultural Use - 5157 - tonnes,Pesticides Use - Rodenticides - 1345 - Agricultural Use - 5157 - tonnes,Pesticides Use - Plant Growth Regulators - 1341 - Agricultural Use - 5157 - tonnes,Pesticides Use - Other Pesticides nes - 1359 - Agricultural Use - 5157 - tonnes
Germany,DEU,1992,15394,1098,9373,8,2912,
Germany,DEU,1993,12696,1790,7660,49,2293,
Germany,DEU,1994,14834,1439,7698,20,1672,
Germany,DEU,1995,16065,1518,9652,19,2435,
Germany,DEU,1996,16541,1296,10404,18,2642,
Germany,DEU,1997,16485,1311,9397,43,3040,
Germany,DEU,1998,17269,1442,10062,81,3741,
Germany,DEU,1999,15825,1362,9273,140,2765,
Germany,DEU,2000,16610.8,1380.35,9375.86,114.3,2141.86,5266.04
Germany,DEU,2001,14942.19,1308.7,8021.94,81.78,2943.45,5777.65
Germany,DEU,2002,14327.94,1412.29,9915.79,106.54,3146.74,5146.93
Germany,DEU,2003,15349.53,1038.14,9825.33,78.92,3275.93,5590.52
Germany,DEU,2004,15922.91,1201.66,7856.1,131.61,3007.76,6245.64
Germany,DEU,2005,15610.29,963.31,9541.11,100.35,3347.26,5982.26
Germany,DEU,2006,17062.78,776.24,9521.55,115.43,3229.24,6967.32
Germany,DEU,2007,17163.7,1370.44,10309.38,143.65,2826.45,8061.18
Germany,DEU,2008,18625.99,1175.57,10752.52,184.06,2921.53,8755.96
Germany,DEU,2009,15159.04,1355.56,10201.24,174.54,2844.31,8594.94
Germany,DEU,2010,16675,1243.79,9666.7,126,2710.49,9419.11
Germany,DEU,2011,17912.77,1109.39,10087.67,107.97,3165.29,10797.5
Germany,DEU,2012,19871.07,1090.47,8774.17,159.15,3233.11,11712.56
Germany,DEU,2013,17858.9,1095.5,10109.6,78.1,2885.5,11214.5
Germany,DEU,2014,17837.14,804.67,12590.55,95.54,2220.81,11588.4
Germany,DEU,2015,16301.93,980.65,12820.47,33.7,3708.34,14135.1
Germany,DEU,2016,15045.94,15344.62,12145.42,8.41,3870.83,367.74
Germany,DEU,2017,16715.65,14467.1,13271.13,3.29,3381.09,355.08
Ghana,GHA,1995,8,32.4,25,0.4,,
Ghana,GHA,1996,287,1167.5,121,,,
Ghana,GHA,1997,68,337,95,,2,
Ghana,GHA,1998,54,112.78,131,,,
Ghana,GHA,1999,37,56.56,16.57,,4,
Ghana,GHA,2000,22,47,12.57,,0.06,
Ghana,GHA,2001,22,47,13,,0,
Ghana,GHA,2002,26.18,49.03,13.51,,,
Ghana,GHA,2004,46.1,57.52,14.72,,4.85,
Ghana,GHA,2005,16.19,120.76,26.43,,,
Ghana,GHA,2006,208.36,527.59,30.59,,,
Ghana,GHA,2007,50.03,45.68,24.16,,,
Ghana,GHA,2008,146.61,163.84,40.38,,,
Ghana,GHA,2009,194.27,155.14,29.56,,,
Greece,GRC,1991,2080,2150,2530,10,129,
Greece,GRC,1992,2130,2290,2670,11,152,
Greece,GRC,1993,2305,2362,3474,10,134,
Greece,GRC,1994,2252,2239,1423,7,102,
Greece,GRC,1995,1883,1696,2554,8,126,
Greece,GRC,1996,1960,2120,2591,5,107,
Greece,GRC,1997,2123,3083,3047,17,165,
Greece,GRC,1998,2303,2505,4731,17,227,
Greece,GRC,1999,2318,2835,3707,11,151,
Greece,GRC,2000,2331,2864,4676,11,148,
Greece,GRC,2001,2650,2638,4860,8,113,
Greece,GRC,2002,3398,3056,4458,,,940
Greece,GRC,2003,2871,2663,4364,,,1232
Greece,GRC,2004,2675,2627,5017,,,1275
Greece,GRC,2005,2997,3108,4975,,,1003
Greece,GRC,2006,1583.3,1993,1728.7,1755.1,445.2,
Greece,GRC,2007,1132.7,2238.6,1602.7,1713.7,658,
Greece,GRC,2008,1045.1,1636.7,1508.9,409.7,530.4,
Greece,GRC,2009,554.2,1016.4,1229.1,238.4,366.3,
Greece,GRC,2010,929.5,1579.4,1507.3,249.7,1341.8,
Greece,GRC,2011,1568.2,3122.7,2133.3,122.1,1243.5,
Greece,GRC,2012,1800.6,2892.7,1817.6,248.2,1243.1,
Greece,GRC,2013,1841.48,3026.33,1809.36,295.37,1109.18,
Greece,GRC,2014,2195.7,3905.76,1822.69,354.96,1225.03,
Greece,GRC,2015,2122.06,3178,2210.46,384.01,1124.34,
Greece,GRC,2016,1980.72,3845.98,1810.84,273.13,1289.09,
Greece,GRC,2017,2073.81,3954.52,1777.27,277.43,1301.38,
Guatemala,GTM,1996,6025.72,2246.03,3669.58,18,40,
Guatemala,GTM,2000,5500.81,1476,2683.74,4.59,,
Guatemala,GTM,2003,6496.88,1496.21,2725,,,
Guatemala,GTM,2004,7585.15,1379.67,2975.74,,8,
Guatemala,GTM,2005,8384.62,1144.79,3958.21,,18.4,
Guatemala,GTM,2006,9609.73,2271.47,4062.07,,8,
Guatemala,GTM,2007,16551.31,2047.12,4271.74,,13,
Guatemala,GTM,2008,10612.27,2781.49,4694.91,,3,
Guatemala,GTM,2009,8291.6,1350.26,3634.84,,,
Guatemala,GTM,2010,8362.84,2026.93,4508.48,,,
Guatemala,GTM,2011,8776.5,1324.7,4808.2,9,80.7,724.01
Guatemala,GTM,2012,12166.4,1193.6,4722.2,6.8,95,672.4
Guatemala,GTM,2013,11054.4,954.4,5287.7,7,87.5,2354.5
Guinea,GIN,1992,0,77,3,,,
Guinea,GIN,1993,1,18,2,,,
Guinea,GIN,1994,15,20,4,,,
Guinea,GIN,1995,21,130,2,,,
Guinea,GIN,1996,8,147,2,,,
Guinea,GIN,1997,8,147,2,,,
Guinea,GIN,2009,372.26,68.99,6.55,,,
Guinea,GIN,2013,797.41,70.47,,,,
Guinea,GIN,2014,265.4,128.68,,,,
Guinea-Bissau,GNB,1993,1,24,,,,
Guinea-Bissau,GNB,1990,,32,,,,
Guinea-Bissau,GNB,1991,,38,,,,
Guinea-Bissau,GNB,1992,,3,1,,,
Guinea-Bissau,GNB,1999,,0.85,0.15,,,
Guinea-Bissau,GNB,2001,,82,,,,
Guyana,GUY,2004,212.77,73.34,3.57,0.22,,
Guyana,GUY,2005,194.12,64.18,11.88,0.6,,
Guyana,GUY,2006,290.52,47.44,4.63,0.53,,
Guyana,GUY,2007,199.24,45.61,1.5,0.15,,
Guyana,GUY,2008,195.17,23.7,14.19,1.21,,
Guyana,GUY,2009,224.13,35.94,4.4,0,,
Guyana,GUY,2010,173.87,32.07,5.53,0.36,,
Guyana,GUY,2011,281.46,95.4,23.68,0.22,,
Guyana,GUY,2012,346.42,77.69,3.35,0.27,,
Guyana,GUY,2013,293.81,51.9,12.66,0.35,,
Haiti,HTI,1990,0.2,7.12,7,2.82,,
Haiti,HTI,1991,0.4,8.14,7,3.32,,
Haiti,HTI,1992,0.2,4.41,5,1.91,,
Haiti,HTI,1993,0.2,2.75,3,1.01,,
Haiti,HTI,1994,0.2,3.07,4,1.31,,
Haiti,HTI,1995,0.3,4.5,5,2.52,,
Haiti,HTI,1996,0.32,5.1,6,3.02,,
Haiti,HTI,1997,0.35,6,6,4,,
Haiti,HTI,1998,0.4,6.3,6,5.08,,
Haiti,HTI,1999,0.4,6.5,6,5.62,,
Haiti,HTI,2000,0.4,6.6,7,5.85,,
Honduras,HND,1990,765.68,1103.91,497.4,6.75,0.87,
Honduras,HND,1991,510.68,730.36,940.2,4.05,1.74,
Honduras,HND,1992,455.6,522.66,3065.4,5.4,2.32,
Honduras,HND,1993,586,373,5783,,26,
Honduras,HND,1994,519.52,680.14,1351.2,,,
Honduras,HND,1995,841,319,857,,,
Honduras,HND,1996,910,320,1207,2,,
Honduras,HND,1997,325,1785,2482,102,,1267
Honduras,HND,1998,249,1223,1979,44,,
Honduras,HND,1999,327,1205,820,35,,
Honduras,HND,2000,195,1262,2130,18,,771
Honduras,HND,2006,2079.12,231.7,1248.6,0.02,10.2,726.8
Honduras,HND,2007,2771,250.7,1402.9,0.03,,848.2
Honduras,HND,2008,2461.4,313.8,1478.9,0.02,,848.2
Honduras,HND,2009,2328,251.8,1155.8,0.02,,582.84
Honduras,HND,2010,2862.4,311.2,1848.3,0.02,,685.31
Honduras,HND,2011,3334.77,339.4,1493.5,0.04,,1064.6
Honduras,HND,2012,4799.09,101.69,758.01,0.01,797.45,601.8
Honduras,HND,2001,,,,,,1141
Hong Kong,HKG,1990,23,74,13,,,5
Hong Kong,HKG,1991,20,61,10,,,4
Hong Kong,HKG,1992,24,43,13,,,4
Hong Kong,HKG,1993,20,38,13,,,3
Hong Kong,HKG,1994,19,34,16,,,2
Hong Kong,HKG,1995,7,28,8,,,2
Hong Kong,HKG,2000,21,19,7,,,
Hong Kong,HKG,2001,20,20,13,,,
Hong Kong,HKG,2002,25,30,6,,,
Hong Kong,HKG,2003,24,41,7,,,
Hong Kong,HKG,2004,17,26,8,,,
Hong Kong,HKG,2005,17,23,5,,,
Hong Kong,HKG,2006,16,23,8,,,
Hong Kong,HKG,2007,11,23,11,,,
Hong Kong,HKG,2008,13,28,14,,,
Hong Kong,HKG,2009,11,20,15,,,
Hong Kong,HKG,2010,14,14,13,,,
Hong Kong,HKG,2011,19,29,15,,,
Hong Kong,HKG,2012,12,32,11,,,
Hong Kong,HKG,2013,22,20,15,,,
Hong Kong,HKG,2014,16,25,16,,,
Hong Kong,HKG,2015,15,24,12,,,
Hong Kong,HKG,2016,16,32,19,,,
Hungary,HUN,1990,5489,1127,5869,48,40,
Hungary,HUN,1991,4538,789,2599,21,17,
Hungary,HUN,1992,3046,534,2093,26,10,
Hungary,HUN,1993,5613,1472,2556,503,9,
Hungary,HUN,1994,4631,1280,2844,726,19,
Hungary,HUN,1995,3727,1004,2078,829,3,
Hungary,HUN,1996,3252,1041,1991,588,6,
Hungary,HUN,1997,2237,582,1472,1,3,
Hungary,HUN,1998,2857,413,1819,2,30,
Hungary,HUN,1999,2462,398,1534,1,27,
Hungary,HUN,2000,2161,388,1440,4,12,
Hungary,HUN,2001,3149,298,1637,20,71,
Hungary,HUN,2002,3599,1307,2264,,,1061.5
Hungary,HUN,2003,4076,1439,2406.5,,,804
Hungary,HUN,2004,4339.5,1640,2819,,,1142
Hungary,HUN,2005,4137.5,1523.5,2611.5,,,1403.5
Hungary,HUN,2006,4916,2011.5,2845,,,1750.5
Hungary,HUN,2007,4591.5,2504.5,2601.5,,,1480.5
Hungary,HUN,2008,4796,2540,3008,,,1740
Hungary,HUN,2009,4527.5,2190,2480.5,,,1946
Hungary,HUN,2010,4479,1965,2285.5,,,1570
Hungary,HUN,2011,3668.07,524,2922.65,4,223.7,1130.84
Hungary,HUN,2012,3824.1,611,3140.95,0,208.8,356.32
Hungary,HUN,2013,3562.12,606.8,3238.48,0.45,185.58,151.07
Hungary,HUN,2014,4011.1,922.2,3680,4.3,203.3,190.1
Hungary,HUN,2015,4270.2,830,3867.9,,287.6,231.5
Hungary,HUN,2016,4580.3,845,3835,1.6,191.8,309.2
Hungary,HUN,2017,4269.9,865,4170.5,2.1,203,248.8
Iceland,ISL,1999,2,0.58,0.29,0.01,0.02,
Iceland,ISL,2000,2.95,0.56,0.32,0.02,0.02,
Iceland,ISL,2001,3.38,0.56,0.36,0.02,0.02,
Iceland,ISL,2002,3,1,0,,,0
Iceland,ISL,2003,3,1,0,,,0
Iceland,ISL,2004,5,1,0,,,0
Iceland,ISL,2005,4,1,0,,,0
Iceland,ISL,2006,5,0,0,,,0
Iceland,ISL,2007,4.14,0.42,0.72,0,0.03,
Iceland,ISL,2008,4.93,0.25,0.43,0,0.02,
Iceland,ISL,2009,3.9,0.26,0.18,,0.03,
Iceland,ISL,2010,2.12,0.47,0.14,,,
Iceland,ISL,2011,2.89,0.4,0.14,,,
Iceland,ISL,2012,2.68,0.41,0.05,,,
Iceland,ISL,2013,2.06,0.18,0.17,,,
Iceland,ISL,2014,3.23,0.27,0.36,,0.02,
Iceland,ISL,2015,3,0.7,0.33,,0.05,
Iceland,ISL,2016,3,0.2,0.44,,0.03,
Iceland,ISL,2017,2,0.25,0.29,,0.01,
India,IND,1990,5821,57945,10902,304,28,
India,IND,1991,6003,54420,11078,593,39,
India,IND,1992,7437,51659,10968,684,43,
India,IND,1993,6593,47031,10465,456,48,1795
India,IND,1994,6810,41994,10177,310,51,2015
India,IND,1995,6120,40045,9635,236,58,5163
India,IND,1996,7258,35486,9227,259,55,3829
India,IND,1997,6992,31078,8641,695,65,2075
India,IND,1998,7481,28268,9864,603,48,364
India,IND,1999,7480,27405,7801,563,68,835
India,IND,2003,7500,22694,11028.08,,23,
India,IND,2004,5154,21489,8435,,35,
India,IND,2005,6959,21783,6566,,34,
India,IND,2006,6304,16913,13367,,839,
India,IND,2007,4121.66,14617.64,8297.14,343.31,43.02,
India,IND,2008,3574.67,3278.33,7491.31,,141.02,
India,IND,2009,4219.98,14810.19,9626.71,,50.13,
India,IND,2010,6334.98,20618.83,13055.44,,84.44,
Indonesia,IDN,1990,1225,445,317,0,445,
Indonesia,IDN,1991,1587,757,385,32,498,
Indonesia,IDN,1992,372,306,145,,2,
Indonesia,IDN,1993,354,929,224,53,37,
Iran,IRN,1990,1583,1744,886,31,,
Iran,IRN,1991,1487,1858,991,13,,
Iran,IRN,1992,2752,3637,1079,13,2,
Iran,IRN,1993,2186,2452,4525,13,2,
Iran,IRN,1994,2463,2047,2521,8,10,
Iran,IRN,1995,1395,1502,5803,40,6,
Iran,IRN,1996,2067,1898,1297,64,6,
Iran,IRN,2000,2482.34,2755.28,1608.6,45.45,,2344.18
Iran,IRN,2001,2394.28,2805.5,1576.2,54.9,,1978.88
Iran,IRN,2002,2444.94,2606.48,1811.4,26.1,,2466.79
Iran,IRN,2003,2891.7,2643.68,1848.6,90.9,,2379.73
Iran,IRN,2004,3066.8,2242.54,1829.4,69.3,,2494
Iran,IRN,2005,3142.96,1559.61,1866.6,44.1,,842.7
Iran,IRN,2006,3348.66,1288.36,1971,2.7,,1260.97
Iran,IRN,2007,2420.8,325.19,1324.8,32.85,,1416.23
Iran,IRN,2008,691.22,374.48,211.8,,,1311.39
Iran,IRN,2009,1436.16,644.18,214.8,1.35,,
Iran,IRN,2011,1254.43,875.22,763.8,,,
Iran,IRN,2012,1677.63,2068.78,1152.6,7.97,0.01,
Iran,IRN,2013,1409.22,1631.16,1042.67,24.11,14.65,
Iran,IRN,2016,1564.19,1756.06,1099.85,5.4,0.03,
Iraq,IRQ,1994,451,241,,,,
Iraq,IRQ,1995,432,384,,,,
Iraq,IRQ,1996,409,207,,,,
Iraq,IRQ,1997,374,256,146,2,,
Iraq,IRQ,1998,304,260,103,3,,
Iraq,IRQ,1999,227,193,34,2,,
Iraq,IRQ,2000,264,204,34,1,,
Iraq,IRQ,2001,421.33,228.65,185.48,2.01,,
Iraq,IRQ,2002,444.65,246.65,185.23,2.15,,
Iraq,IRQ,2004,432.26,231.11,163.23,2.02,,
Iraq,IRQ,2005,441.9,242.14,186.94,2.03,,
Iraq,IRQ,2006,433.21,236.88,152.15,1.9,,
Iraq,IRQ,2007,502.46,352.15,205.36,2.64,,
Iraq,IRQ,2013,0.55,399.91,17.29,,,
Iraq,IRQ,2014,2.39,377.48,6.89,,,
Iraq,IRQ,2015,27.93,107.78,50.85,,,7.55
Iraq,IRQ,2016,23.6,62.87,34.95,,,27.41
Iraq,IRQ,2017,112.46,85.31,11.55,,,2.82
Ireland,IRL,1994,1082,110,706,0,116,
Ireland,IRL,1995,1362,106,570,0,106,
Ireland,IRL,1996,879,45,570,0,63,
Ireland,IRL,1997,1261,51,730,0,105,
Ireland,IRL,1998,1413,80,566,0,165,
Ireland,IRL,1999,1314,69,405,0,129,
Ireland,IRL,2000,1289,55,444,0,132.84,
Ireland,IRL,2001,1641,66,430,,150.92,
Ireland,IRL,2002,1820,47,458,,244,
Ireland,IRL,2003,1854,42,627,,152.56,
Ireland,IRL,2004,2006,39,702,,198.91,
Ireland,IRL,2005,1830,50,558,,174,
Ireland,IRL,2006,2032,43,537,,141,
Ireland,IRL,2007,2276,43,574,,163,
Ireland,IRL,2008,1888,44,636,,211,
Ireland,IRL,2009,1628,24,516,,79,
Ireland,IRL,2010,1663,24,568,,254,
Ireland,IRL,2011,2834,57,563,,189,
Ireland,IRL,2012,1996,42,625,,243,
Ireland,IRL,2013,2031,54,583,,260,
Ireland,IRL,2014,2038,51.02,630,,248,
Ireland,IRL,2015,2098,70,687.7,,255,13.5
Ireland,IRL,2016,1773.8,32.9,514.56,,216.27,45.6
Ireland,IRL,2017,1820.4,53.71,639.47,,315.89,31.43
Israel,ISR,1998,712,618,814,,,103
Israel,ISR,2008,1081,1272.9,4585.4,0.03,0.05,391.8
Israel,ISR,2009,1518,935,2320,,68,1809
Israel,ISR,2010,1294,1124,2559,,79,1697
Israel,ISR,2011,1691.1,535.86,1959,,60,1878.04
Israel,ISR,2012,1555.7,530.8,2049,,51,1822.5
Israel,ISR,2013,1411.5,532.4,2084,,49,1928.1
Israel,ISR,2014,1626,503,2666,,37,1503
Israel,ISR,2015,1689,516,2794,,44,1324
Israel,ISR,2016,1381,525,2843,,45,1299
Italy,ITA,1990,9602,12074,66856,56.4,3277,
Italy,ITA,1991,9346,12279,56434,24.6,3013,
Italy,ITA,1992,8087,10336,59605,21.6,2635,
Italy,ITA,1993,8808,12344,59749,27.2,1614,
Italy,ITA,1994,8970,11739,52511,15.6,1594,
Italy,ITA,1995,9779,12233,53014,10,1932,
Italy,ITA,1996,10393,11932,43465,3.2,1856,
Italy,ITA,1997,10536,13493,52638,20,1042,
Italy,ITA,1998,10599,11966,53381,15,533,
Italy,ITA,1999,9616,10572,52616,15,906,
Italy,ITA,2000,9432,8859,52131,21,746,
Italy,ITA,2001,9982,8874,48221,24,761,
Italy,ITA,2002,11740,10697,62888,37,660,
Italy,ITA,2003,11462,11021,54074,30,621,
Italy,ITA,2004,8936,12980,52609,34,494,
Italy,ITA,2005,9191,12838,53511,40,538,
Italy,ITA,2006,8721,12470,45017,39,511,
Italy,ITA,2007,9180,13567,49634,44,240,
Italy,ITA,2008,8435,13523,50629,35,410,
Italy,ITA,2009,7637,10930,46433,37,492,3321
Italy,ITA,2010,9934,10834,42537,36,456,916
Italy,ITA,2011,8320,11795,42726,37,388,1063
Italy,ITA,2012,7981,10413,36457,36,272,1086
Italy,ITA,2013,7690,8713,32292,33,329,1459
Italy,ITA,2014,7585,9099,36967,27,338,597
Italy,ITA,2015,7692,10437,37916,67,177,1775
Italy,ITA,2016,7242,10470,34978,18,174,2388
Italy,ITA,2017,6881,11407,32517,374,215,20
Jamaica,JAM,1994,206.04,221.96,778.8,10.35,0.29,
Jamaica,JAM,1995,218.28,172.05,846,9.9,12.76,
Jamaica,JAM,1996,239.02,328.29,730.2,9.9,8.7,
Jamaica,JAM,1997,221.68,203.98,177,14.85,3.19,
Japan,JPN,2000,11331.7,27292.3,40611.9,4.2,581.08,
Japan,JPN,2001,11793.1,26227.3,39993.2,3.6,718.25,
Japan,JPN,2002,11492.8,23363.2,34768.5,2.7,635.34,
Japan,JPN,2003,10942.4,24795.1,31521,3.5,607.72,
Japan,JPN,2004,11861.5,22772.5,29582.8,3.1,468.98,
Japan,JPN,2005,12158.1,22679.6,28526.2,3,462.87,
Japan,JPN,2006,11946.7,24031.8,28850.7,2.8,416.26,
Japan,JPN,2007,12031.6,22549,26199,3,381.47,
Japan,JPN,2008,11857.2,21146.4,25221.4,2.9,522.1,
Japan,JPN,2009,12804.7,23403.1,24235.2,2.9,524.9,
Japan,JPN,2010,12166.7,20535,22340.9,3,530.4,
Japan,JPN,2011,11414.3,18847.5,21022.6,3.2,508.7,
Japan,JPN,2012,11563.6,19066.3,23527.6,3,555.9,
Japan,JPN,2013,11979.5,17547.8,22825.1,3.1,438.8,
Japan,JPN,2014,12349.5,18030.2,22699.8,2.6,461.6,
Japan,JPN,2015,12653.15,18187.77,22855.78,2.72,471.74,
Japan,JPN,2016,12575.95,16735.89,21235.39,2.89,456.34,
Japan,JPN,2017,13136.47,16947.7,21700.21,3.3,460.84,
Jordan,JOR,1990,27,324,351,0,,
Jordan,JOR,1991,78,397,398,13,,
Jordan,JOR,1992,77,372,859,3,,
Jordan,JOR,1993,52,292,368,9,,
Jordan,JOR,1995,53,232,339,1,,
Jordan,JOR,1996,123,255,406,14,,
Jordan,JOR,1997,85,264,383,38,,
Jordan,JOR,1998,66,191,376,10,,
Jordan,JOR,1999,23,102,283,0,,
Jordan,JOR,2000,116,61,300,0,,
Jordan,JOR,2001,38.14,343.25,1014.74,,,23.58
Jordan,JOR,2002,148.87,358.94,858.77,3.15,,61.67
Jordan,JOR,2003,57.4,470.96,656.18,5.85,,103.02
Jordan,JOR,2004,162.95,319.06,121.91,6.75,,18.14
Jordan,JOR,2005,152.95,508.72,988.75,8.55,,36.28
Jordan,JOR,2006,140.36,440.83,515.44,7.2,,15.6
Jordan,JOR,2007,132.58,428.53,635.56,22.95,,22.49
Jordan,JOR,2008,105,385,629,3.7,,105
Jordan,JOR,2009,56,309,497,7.5,,80
Jordan,JOR,2010,55,451,237,5.8,,125
Jordan,JOR,2011,107,546,305,10.8,,92.3
Jordan,JOR,2012,113,359,236,,,
Jordan,JOR,2013,26,640,344,,,
Jordan,JOR,2014,25,455,239,,,
Jordan,JOR,2015,35,410,221,,,
Jordan,JOR,2016,104,510,408,,,
Jordan,JOR,2017,56,572,661,,,0.4
Kazakhstan,KAZ,1994,9018,937,3308,2,3909,
Kazakhstan,KAZ,1995,6516,670,2205,,4121,
Kazakhstan,KAZ,1996,8214,903,2051,0,1877,
Kazakhstan,KAZ,1997,5184,818,1525,,584,
Kazakhstan,KAZ,2000,2196.5,707.73,60.22,0,59.97,0
Kazakhstan,KAZ,2001,2391.2,448.83,115.01,0,52.22,0
Kazakhstan,KAZ,2002,2696.17,317.67,303.73,0,44.27,0
Kazakhstan,KAZ,2003,2766.36,334.6,476.91,7.5,21.18,0
Kazakhstan,KAZ,2004,3177.8,337.29,269.59,0,18.24,0
Kazakhstan,KAZ,2005,3032.18,247.77,362.49,0,24.18,0
Kazakhstan,KAZ,2006,3105.27,289.08,496.77,3.2,31.95,0
Kazakhstan,KAZ,2007,4776.9,178.99,576.54,22.4,21.06,0
Kazakhstan,KAZ,2008,6116.21,313.73,519.37,67.19,28.4,0
Kazakhstan,KAZ,2009,7881.71,352.05,414.1,43.77,24.51,0
Kazakhstan,KAZ,2010,5702.85,289.52,233.22,26.31,31.95,0
Kazakhstan,KAZ,2011,9314.8,449.2,853.4,25.3,13.9,0
Kazakhstan,KAZ,2012,7719.7,410.2,426.6,19.68,98.4,0
Kazakhstan,KAZ,2013,7245.6,632.4,509,19.68,331.7,0
Kazakhstan,KAZ,2014,9421.4,645.4,812,17.77,262.2,0
Kazakhstan,KAZ,2015,8706.5,524.7,674.5,7.2,99.4,576.6
Kazakhstan,KAZ,2016,8306.7,506.9,915.4,59.2,269.7,613.7
Kazakhstan,KAZ,2017,10764.8,619.4,1369.5,0,378.1,679.3
Kenya,KEN,1994,747,1050,1672,,,
Kenya,KEN,1995,871,1413,2323,,,
Kenya,KEN,1996,998,1876,3470,,,
Kenya,KEN,1997,703,2078,2391,,,
Kenya,KEN,2000,477,367,1149,5,,
Kenya,KEN,2001,562,303,711,2,,
Kuwait,KWT,1995,0,9,4,,,
Kuwait,KWT,1996,0,5,5,8,,
Kuwait,KWT,1998,1,14,4,12,,
Kuwait,KWT,1997,,13,4,3,,
Kyrgyzstan,KGZ,1992,434,409,1324,,251,
Kyrgyzstan,KGZ,2000,567.7,71.5,41.7,,,
Kyrgyzstan,KGZ,2001,141.7,109.3,358.6,,,
Kyrgyzstan,KGZ,2002,168.1,121.4,443.7,,,
Kyrgyzstan,KGZ,2003,190.9,108.6,1003.1,,,
Kyrgyzstan,KGZ,2004,207.7,122.2,991.4,,,
Kyrgyzstan,KGZ,2005,146.1,90.9,844.1,,,
Kyrgyzstan,KGZ,2006,140.1,93.3,562.6,,,
Kyrgyzstan,KGZ,2007,125.3,83.4,817.5,,,
Kyrgyzstan,KGZ,2008,140.8,113.7,408.3,,,
Kyrgyzstan,KGZ,2009,163.1,82.1,21.6,,,
Kyrgyzstan,KGZ,2010,169,109.4,71.7,,,
Kyrgyzstan,KGZ,2011,160,94.8,58.1,,,
Kyrgyzstan,KGZ,2012,159.9,153.3,51.9,,,
Kyrgyzstan,KGZ,2013,185.6,126.1,29.4,,,
Kyrgyzstan,KGZ,2014,229.4,130.1,43.1,,,
Kyrgyzstan,KGZ,2015,296.1,154.2,65.7,,,
Kyrgyzstan,KGZ,2016,261.9,199.3,71.6,,,
Kyrgyzstan,KGZ,2017,325.4,170.9,64.1,,,
Laos,LAO,1997,1.41,2.92,0.05,,,
Laos,LAO,1998,0.19,0.37,0.1,,,
Laos,LAO,2000,0.09,0.51,0.08,0.6,,
Laos,LAO,2006,0.04,0.08,,,,
Laos,LAO,2007,0.32,0.11,0.01,,,
Laos,LAO,2009,23.17,0.49,1.96,0.03,,
Laos,LAO,2010,0.1,0.05,,,1.68,
Laos,LAO,2011,43.8,,,,,
Laos,LAO,2012,23.48,19.53,0.52,0,,
Laos,LAO,2013,68.27,54.07,3.26,,0,
Laos,LAO,2014,1.97,0.2,0.83,,,
Laos,LAO,1992,,17,,4,,
Laos,LAO,1993,,34,8,4,,
Laos,LAO,2008,,0.05,,0.02,,
Latvia,LVA,1992,690,14,180,,121,
Latvia,LVA,1993,345,7,89,,35,
Latvia,LVA,1994,223,3,56,,12,
Latvia,LVA,1995,261,3,77,,17,
Latvia,LVA,1996,230,4,102,,25,
Latvia,LVA,1997,220,2,84,,28,
Latvia,LVA,1998,265,3,68,,33,
Latvia,LVA,2000,176.96,18.7,57.22,,31.84,
Latvia,LVA,2001,255.38,19.2,57.97,,34.85,
Latvia,LVA,2002,236.17,14.7,65.62,,18.82,
Latvia,LVA,2003,315.77,12.4,79.24,,70.22,
Latvia,LVA,2004,414.19,18.3,87.59,,74.38,
Latvia,LVA,2005,486.91,15.1,112.88,,108.65,
Latvia,LVA,2006,509.44,14.01,109.53,,110.59,
Latvia,LVA,2007,775.61,30.01,161.97,,145.9,
Latvia,LVA,2008,679.1,35.3,157.2,,161.4,
Latvia,LVA,2009,555,36.2,143.2,,146.8,
Latvia,LVA,2010,668.8,38.1,153.8,,166.8,
Latvia,LVA,2011,723.6,34.3,149,0,163.6,
Latvia,LVA,2012,912.1,44.51,203.45,0,236.9,
Latvia,LVA,2013,728,44.1,214.3,,257.6,6
Latvia,LVA,2014,847.5,64,224.7,,274.5,6.6
Latvia,LVA,2015,861.1,17.4,269.8,,357.1,6.6
Latvia,LVA,2016,986.89,33.81,261.97,,434.7,7.3
Latvia,LVA,2017,801.18,36.48,266.54,,367.56,6.67
Lebanon,LBN,1996,319,87,723,92,,
Lebanon,LBN,1997,534,255,988,39,,
Lesotho,LSO,2006,2.94,1.79,,,0.52,
Lesotho,LSO,2007,7.43,27.62,0.16,,0.06,
Lesotho,LSO,2008,10.61,21.37,,,5.46,
Lesotho,LSO,2009,22.21,44.88,0.48,,10.13,
Lesotho,LSO,2010,32.66,32.33,6.23,,8.85,
Lesotho,LSO,2011,59.66,100.22,4.21,,11.18,
Lesotho,LSO,2012,84.4,171.05,7.89,,8.5,
Lesotho,LSO,2013,10.57,49.75,1.8,,0.2,
Lesotho,LSO,2004,,0.05,,,0.25,
Lesotho,LSO,2005,,0.03,,,0.5,
Libya,LBY,2005,123.08,2254.01,200.4,156.15,,
Libya,LBY,2006,321.98,996.34,108.6,227.25,,
Libya,LBY,2007,54.74,556.76,267,,,
Libya,LBY,2008,89.08,776.55,16.2,,,
Libya,LBY,2009,123.42,1047.49,210,,,
